class,selector,types,armv7_imp
igphtmlViewController,restore_web_access,types 0x3c64c5 @8@0:4,0x263254
igphtmlViewController,setCan_press_play_video_button_timer:,types 0x3c6521 v12@0:4@8,0x26609c
igphtmlViewController,can_press_play_video_button_timer,types 0x3c64c5 @8@0:4,0x263240
igphtmlViewController,makeDir::,types 0x3c64d3 v16@0:4@8@12,0x265968
igphtmlViewController,makeDirWithPath:,types 0x3c6521 v12@0:4@8,0x2650c4
igphtmlViewController,downloadResFromURL::,types 0x3c64d3 v16@0:4@8@12,0x264f60
igphtmlViewController,downloadFileWithName::::,types 0x3c6725 v24@0:4@8@12@16B20,0x264dec
igphtmlViewController,gameWasDownloaded:,types 0x3c6594 c12@0:4@8,0x264d54
igphtmlViewController,downloadGameFree:,types 0x3c6521 v12@0:4@8,0x2660d0
igphtmlViewController,downloadGamePaid:,types 0x3c6521 v12@0:4@8,0x266258
igphtmlViewController,parseResponse:,types 0x3c6521 v12@0:4@8,0x2664dc
igphtmlViewController,makeHTMLFromBoundle:,types 0x3c6521 v12@0:4@8,0x2679a4
igphtmlViewController,readHeader:::,types 0x3c6738 i20@0:4i8c12i16,0x265584
igphtmlViewController,connectionDidFinishLoading:,types 0x3c6521 v12@0:4@8,0x26323c
igphtmlViewController,connection:didReceiveData:,types 0x3c64d3 v16@0:4@8@12,0x264d24
igphtmlViewController,saveAllResToDocumentsFolder,types 0x3c6510 v8@0:4,0x2684a0
igphtmlViewController,getDefaultDocumentsPath,types 0x3c6510 v8@0:4,0x268904
igphtmlViewController,checkForNetworkAvailability,types 0x3c6661 i8@0:4,0x268ca0
igphtmlViewController,getUpdateLinkAddress,types 0x3c6510 v8@0:4,0x268d8c
igphtmlViewController,getIgpHtmlLink,types 0x3c6510 v8@0:4,0x2690a4
igphtmlViewController,quitIgpHtml,types 0x3c6510 v8@0:4,0x2653e8
igphtmlViewController,createMMButtons,types 0x3c6510 v8@0:4,0x264bb0
igphtmlViewController,removeAllWidgetsFromSuperview,types 0x3c6510 v8@0:4,0x264a48
igphtmlViewController,netErrorMethod:,types 0x3c6521 v12@0:4@8,0x2652cc
igphtmlViewController,webView:didFailWithError:,types 0x3c64d3 v16@0:4@8@12,0x265254
